Date,Actual_Quantity,Predicted_Quantity,Temperature,Temperature_Band,Holiday_Period,Is_Peak_Season,Is_Holiday,Prediction_Error,Business_Loss
2023-01-01,0.0,0.40845103822219636,49.6,Cold (≤60°F),Holiday,False,True,0.40845103822219636,0.7270428480355096
2023-01-02,6.0,6.036811783476717,49.6,Cold (≤60°F),Holiday,False,True,0.03681178347671743,0.06552497458855702
2023-01-03,0.0,0.8298930356896045,49.6,Cold (≤60°F),Post-Holiday,False,False,0.8298930356896045,1.477209603527496
2023-01-04,5.0,3.322190520990057,57.2,Cold (≤60°F),Post-Holiday,False,False,-1.6778094790099431,19.361921387774743
2023-01-05,2.0,1.9842141253248424,54.5,Cold (≤60°F),Post-Holiday,False,False,-0.015785874675157574,0.1821689937513184
2023-01-06,8.0,6.7577928848918685,51.7,Cold (≤60°F),Normal,False,False,-1.2422071151081315,14.335070108347837
2023-01-07,6.0,5.998694986126953,53.8,Cold (≤60°F),Normal,False,False,-0.001305013873047045,0.0150598600949629
2023-01-08,3.0,2.078218759900146,53.5,Cold (≤60°F),Normal,False,False,-0.921781240099854,10.637355510752315
2023-01-09,8.0,7.736241321287669,54.2,Cold (≤60°F),Normal,False,False,-0.26375867871233094,3.0437751523402987
2023-01-10,1.0,1.4332285732091135,53.3,Cold (≤60°F),Normal,False,False,0.43322857320911345,0.771146860312222
2023-01-11,2.0,1.9191997116499133,50.7,Cold (≤60°F),Normal,False,False,-0.08080028835008668,0.9324353275600002
2023-01-12,6.0,6.255951436905074,58.2,Cold (≤60°F),Normal,False,False,0.2559514369050744,0.4555935576910324
2023-01-13,5.0,4.9717389753831,54.9,Cold (≤60°F),Pre-Holiday,False,False,-0.028261024616900166,0.32613222407902787
2023-01-14,6.0,5.799575360075546,51.2,Cold (≤60°F),Pre-Holiday,False,False,-0.2004246399244538,2.3129003447281966
2023-01-15,4.0,3.3386146675837143,53.1,Cold (≤60°F),Pre-Holiday,False,False,-0.6613853324162857,7.632386736083936
2023-01-16,1.0,1.2304353771983458,51.9,Cold (≤60°F),Holiday,False,True,0.23043537719834584,0.4101749714130556
2023-01-17,2.0,2.202952690770809,49.3,Cold (≤60°F),Post-Holiday,False,False,0.2029526907708088,0.3612557895720397
2023-01-18,3.0,2.6538440960653618,47.4,Cold (≤60°F),Post-Holiday,False,False,-0.34615590393463824,3.9946391314057252
2023-01-19,4.0,4.679441432474543,47.7,Cold (≤60°F),Post-Holiday,False,False,0.679441432474543,1.2094057498046866
2023-01-20,7.0,6.7786874555593215,48.5,Cold (≤60°F),Normal,False,False,-0.2213125444406785,2.5539467628454298
2023-01-21,7.0,6.258555224892163,49.9,Cold (≤60°F),Normal,False,False,-0.741444775107837,8.556272704744439
2023-01-22,3.0,2.7205614096255073,47.4,Cold (≤60°F),Normal,False,False,-0.2794385903744927,3.2247213329216455
2023-01-23,6.0,5.894203696814038,52.3,Cold (≤60°F),Normal,False,False,-0.10579630318596234,1.2208893387660054
2023-01-24,11.0,9.983655809374747,50.8,Cold (≤60°F),Normal,False,False,-1.0163441906252526,11.728611959815414
2023-01-25,0.0,1.3029448447212246,50.8,Cold (≤60°F),Normal,False,False,1.3029448447212246,2.3192418236037797
2023-01-26,8.0,7.847952892978104,56.0,Cold (≤60°F),Normal,False,False,-0.15204710702189583,1.7546236150326777
2023-01-27,13.0,13.683015630896024,53.0,Cold (≤60°F),Normal,False,False,0.6830156308960245,1.2157678229949236
2023-01-28,9.0,9.51090691869657,50.1,Cold (≤60°F),Normal,False,False,0.5109069186965698,0.9094143152798942
2023-01-29,1.0,1.7973082192293741,49.2,Cold (≤60°F),Normal,False,False,0.7973082192293741,1.419208630228286
2023-01-30,3.0,3.0512409449249227,47.8,Cold (≤60°F),Normal,False,False,0.051240944924922704,0.09120888196636241
2023-01-31,3.0,3.1240067280902832,51.0,Cold (≤60°F),Normal,False,False,0.12400672809028324,0.22073197600070416
2023-02-01,6.0,5.820432082252657,52.2,Cold (≤60°F),Normal,False,False,-0.1795679177473426,2.0722137708043333
2023-02-02,7.0,7.022250632849003,53.0,Cold (≤60°F),Normal,False,False,0.022250632849003082,0.03960612647122549
2023-02-03,8.0,6.343830083284064,54.8,Cold (≤60°F),Normal,False,False,-1.6561699167159363,19.112200838901902
2023-02-04,14.0,14.25076093032342,54.6,Cold (≤60°F),Normal,False,False,0.25076093032341973,0.4463544559756871
2023-02-05,7.0,6.219528735536646,51.2,Cold (≤60°F),Normal,False,False,-0.7804712644633538,9.006638391907103
2023-02-06,9.0,8.580329084029584,53.7,Cold (≤60°F),Normal,False,False,-0.41967091597041595,4.8430023702986
2023-02-07,6.0,5.322290520832037,54.7,Cold (≤60°F),Normal,False,False,-0.6777094791679632,7.820767389598295
2023-02-08,5.0,5.404828093536355,56.2,Cold (≤60°F),Normal,False,False,0.40482809353635485,0.7205940064947116
2023-02-09,4.0,4.775032635706944,61.6,Normal (61-74°F),Normal,False,False,0.7750326357069444,1.379558091558361
2023-02-10,3.0,4.013299473871197,62.1,Normal (61-74°F),Normal,False,False,1.0132994738711973,1.8036730634907312
2023-02-11,5.0,6.183310110331921,51.4,Cold (≤60°F),Normal,False,False,1.183310110331921,2.1062919963908193
2023-02-12,7.0,7.316699099647615,48.1,Cold (≤60°F),Normal,False,False,0.31669909964761533,0.5637243973727553
2023-02-13,5.0,5.101199381948903,49.9,Cold (≤60°F),Normal,False,False,0.10119938194890299,0.18013489986904732
2023-02-14,2.0,2.389296000349571,49.1,Cold (≤60°F),Normal,False,False,0.3892960003495709,0.6929468806222362
